age,ast_pct,blk_pct,bpm,drb_pct,fg3a_per_fga_pct,g,mp,orb_pct,playerID,playerName,pos,stl_pct,teamid,tov_pct,trb_pct,ts_pct,usg_pct,vorp,year
21,24.6,0.5,1.0,12.0,.332,80,2896,1.8,curryst01,"Curry,Stephen",PG,2.5,GSW,16.5,6.8,.568,21.8,2.2,2010
28,4.7,5.6,-0.4,30.7,.000,82,2124,13.1,dalemsa01,"Dalembert,Samuel",C,1.0,PHI,17.5,21.8,.573,15.1,0.9,2010
34,3.5,4.5,0.7,24.1,.014,55,1280,11.6,dampier01,"Dampier,Erick",C,0.6,DAL,19.2,17.9,.637,11.4,0.9,2010
29,11.1,0.5,-2.5,8.7,.112,51,937,3.6,daniema01,"Daniels,Marquis",SF,1.5,BOS,13.3,6.2,.526,15.8,-0.1,2010
30,39.6,1.3,1.5,9.9,.292,75,2523,2.4,davisba01,"Davis,Baron",PG,2.6,LAC,15.6,6.1,.501,24.3,2.3,2010
24,5.9,1.2,-3.0,13.3,.014,54,933,13.7,davisgl01,"Davis,Glen",PF,1.2,BOS,13.5,13.5,.500,19.7,-0.2,2010
25,73.8,9.5,-4.7,0.0,.000,2,8,0.0,davispa01,"Davis,Paul",PF,0.0,WAS,0.0,0.0,.512,27.6,0.0,2010
30,12.3,0.4,-5.1,11.0,.294,36,499,2.3,davisri01,"Davis,Ricky",SF,1.1,LAC,15.6,6.6,.504,16.8,-0.4,2010
21,6.3,2.4,-2.7,19.8,.322,69,915,4.2,dayeau01,"Daye,Austin",SF,1.5,DET,13.1,11.5,.546,18.5,-0.2,2010
27,14.0,0.7,1.6,18.0,.499,75,2279,2.4,delfica01,"Delfino,Carlos",SF,1.8,MIL,13.2,9.8,.526,18.0,2.1,2010
24,9.1,1.8,0.2,15.8,.082,70,2651,5.6,denglu01,"Deng,Luol",SF,1.3,CHI,10.4,10.7,.531,21.9,1.4,2010
20,4.9,0.8,-2.8,10.9,.031,77,1664,4.8,derozde01,"DeRozan,DeMar",SG,1.3,TOR,9.4,7.9,.554,18.1,-0.3,2010
27,18.9,1.6,1.9,11.9,.266,82,2906,5.5,diawbo01,"Diaw,Boris",PF,1.1,CHA,17.5,8.8,.552,16.2,2.9,2010
27,9.7,0.0,-8.9,8.0,.600,6,44,2.7,diawaya01,"Diawara,Yakhouba",SG,1.2,MIA,23.1,5.3,.250,13.9,-0.1,2010
27,21.8,0.0,-3.9,6.8,.700,9,51,0.0,dienetr01,"Diener,Travis",PG,4.0,TOT,0.0,3.4,.255,10.5,0.0,2010
27,22.0,0.0,-2.1,8.8,.833,4,25,0.0,dienetr01,"Diener,Travis",PG,5.9,IND,0.0,4.4,.218,12.1,0.0,2010
27,21.7,0.0,-5.6,4.8,.500,5,26,0.0,dienetr01,"Diener,Travis",PG,2.1,POR,0.0,2.4,.307,8.9,0.0,2010
28,2.9,4.4,-2.0,18.5,.000,27,262,11.2,diopde01,"Diop,DeSagana",C,1.0,CHA,26.7,15.0,.485,8.0,0.0,2010
29,24.0,0.0,-4.2,5.7,.485,53,971,0.9,doolike01,"Dooling,Keyon",PG,1.8,NJN,14.4,3.2,.519,19.4,-0.5,2010
26,2.8,1.4,-7.4,29.9,.000,15,106,16.8,dorsejo01,"Dorsey,Joey",PF,1.4,TOT,19.2,23.2,.455,13.1,-0.1,2010
26,5.4,1.3,-2.7,30.8,.000,7,54,22.5,dorsejo01,"Dorsey,Joey",PF,1.9,HOU,25.2,26.5,.463,13.0,0.0,2010
26,0.0,1.4,-12.2,29.0,.000,8,52,10.9,dorsejo01,"Dorsey,Joey",PF,1.0,SAC,13.0,19.8,.448,13.1,-0.1,2010
23,16.6,0.2,-0.8,7.2,.448,56,1087,4.1,douglto01,"Douglas,Toney",PG,2.0,NYK,11.6,5.6,.571,19.8,0.3,2010
23,9.5,0.8,-4.0,10.7,.094,67,1730,2.9,douglch01,"Douglas-Roberts,Chris",SF,1.7,NJN,13.1,6.6,.512,19.6,-0.9,2010
23,24.1,0.4,0.4,9.8,.383,80,1442,3.2,dragigo01,"Dragic,Goran",PG,1.7,PHO,18.3,6.7,.566,21.1,0.9,2010
24,7.9,0.6,3.7,9.8,.535,82,1991,5.9,dudleja01,"Dudley,Jared",SF,2.0,PHO,11.0,8.0,.612,13.7,2.9,2010
27,25.9,0.1,-2.9,8.4,.572,67,2072,1.5,duhonch01,"Duhon,Chris",PG,1.5,NYK,18.2,4.9,.501,13.1,-0.5,2010
33,17.8,3.5,5.6,26.8,.010,78,2438,10.8,duncati01,"Duncan,Tim",C,1.0,SAS,10.1,18.9,.560,26.0,4.7,2010
29,11.3,0.7,-1.9,15.6,.423,67,1486,1.8,dunlemi02,"Dunleavy,Mike",SF,1.3,IND,10.3,8.7,.531,20.7,0.0,2010
21,13.5,1.9,5.1,17.9,.210,82,3239,3.8,duranke01,"Durant,Kevin",SF,1.8,OKC,11.7,11.0,.607,32.0,5.8,2010
22,8.3,0.3,-4.8,10.4,.362,76,1384,2.6,ellinwa01,"Ellington,Wayne",SG,0.7,MIN,13.4,6.4,.527,17.4,-1.0,2010
24,21.2,0.7,-1.5,9.0,.162,64,2647,1.9,ellismo01,"Ellis,Monta",SG,2.6,GSW,13.4,5.4,.517,29.5,0.3,2010
33,4.3,0.0,-6.8,14.5,.000,12,66,10.0,elsonfr01,"Elson,Francisco",C,0.8,TOT,5.5,12.1,.349,12.5,-0.1,2010
33,4.6,0.0,-5.8,15.4,.000,11,62,8.7,elsonfr01,"Elson,Francisco",C,0.8,MIL,6.7,11.9,.360,10.9,-0.1,2010
33,0.0,0.0,-23.5,0.0,.000,1,4,29.0,elsonfr01,"Elson,Francisco",C,0.0,PHI,0.0,14.7,.301,37.8,0.0,2010
31,5.5,1.0,-0.7,8.5,.430,79,1317,5.2,evansma01,"Evans,Maurice",SF,1.4,ATL,4.5,6.8,.539,15.4,0.4,2010
29,3.7,1.0,-4.9,27.7,.000,28,311,11.7,evansre01,"Evans,Reggie",PF,2.3,TOR,18.7,19.9,.498,17.2,-0.2,2010
20,26.1,0.7,1.6,13.6,.121,72,2677,2.8,evansty01,"Evans,Tyreke",SG,2.1,SAC,13.6,8.1,.529,26.2,2.5,2010
23,13.4,0.6,-1.4,8.8,.445,82,1474,1.1,farmajo01,"Farmar,Jordan",PG,1.8,LAL,11.5,5.0,.535,19.0,0.2,2010
25,29.5,0.7,1.6,10.5,.184,80,2643,2.5,feltora01,"Felton,Raymond",PG,2.5,CHA,15.4,6.6,.525,19.2,2.4,2010
24,13.8,0.6,1.8,11.2,.629,62,1441,3.0,fernaru01,"Fernandez,Rudy",SG,2.4,POR,13.4,7.0,.540,17.7,1.4,2010
23,5.3,3.7,-2.9,16.1,.011,49,408,9.8,fesenky01,"Fesenko,Kyrylo",C,0.8,UTA,16.7,13.1,.533,15.8,-0.1,2010
36,9.2,0.6,-2.6,10.7,.446,46,709,1.0,finlemi01,"Finley,Michael",SF,0.7,TOT,9.9,6.0,.530,13.8,-0.1,2010
36,6.8,0.7,-3.7,9.6,.423,25,395,1.5,finlemi01,"Finley,Michael",SF,0.8,SAS,11.4,5.6,.461,13.2,-0.2,2010
36,12.2,0.5,-1.3,12.2,.471,21,314,0.4,finlemi01,"Finley,Michael",SF,0.7,BOS,8.2,6.4,.608,14.6,0.1,2010
35,12.9,0.3,-0.8,7.2,.401,82,2227,1.3,fishede01,"Fisher,Derek",PG,2.1,LAL,11.2,4.3,.499,14.0,0.7,2010
20,24.7,0.1,-3.6,8.1,.226,81,2339,1.1,flynnjo01,"Flynn,Jonny",PG,1.8,MIN,17.9,4.6,.511,24.2,-1.0,2010
26,24.8,0.7,-1.8,10.0,.120,47,1189,3.7,fordtj01,"Ford,T.J.",PG,1.8,IND,15.9,6.8,.507,21.0,0.1,2010
33,12.1,1.1,-1.3,20.3,.022,16,255,14.4,fosteje01,"Foster,Jeff",C,0.6,IND,21.9,17.3,.490,11.1,0.0,2010
26,22.6,0.5,-2.5,8.0,.294,70,1667,1.1,foyera01,"Foye,Randy",PG,1.0,WAS,12.1,4.5,.516,21.1,-0.2,2010
26,7.4,2.4,3.7,17.6,.558,81,2190,3.6,fryech01,"Frye,Channing",C,1.5,PHO,8.8,11.0,.598,16.7,3.2,2010
31,6.0,3.3,-2.4,20.5,.000,32,314,13.1,gadzuda01,"Gadzuric,Dan",C,1.5,MIL,13.0,16.6,.440,16.6,0.0,2010
